policy,family,budget_fraction,budget_ms,seed,rows,recall,false_positive_rate,mean_total_cost_ms,acquisition_rate
signed_value_cost_aware,HistGradientBoostingRegressor,0.2,784.3103203689628,5772,1687,0.45017182130584193,0.027220630372492838,790.9359109508001,0.18435091879075283
signed_value_cost_aware,HistGradientBoostingRegressor,0.2,784.3103203689628,8111,1687,0.44673539518900346,0.02650429799426934,776.9877407142857,0.18020154119739182
signed_value_cost_aware,HistGradientBoostingRegressor,0.3,1154.5747014991466,1729,1687,0.5189003436426117,0.02865329512893983,1153.5961487842324,0.27504445761707175
signed_value_cost_aware,HistGradientBoostingRegressor,0.3,1154.5747014991466,2718,1687,0.5326460481099656,0.024355300859598854,1151.2102619146413,0.2720806164789567
signed_value_cost_aware,HistGradientBoostingRegressor,0.3,1154.5747014991466,3141,1687,0.5463917525773195,0.027936962750716332,1154.200176411381,0.27385892116182575
signed_value_cost_aware,HistGradientBoostingRegressor,0.3,1154.5747014991466,5772,1687,0.5395189003436426,0.025071633237822348,1150.4734794184944,0.27385892116182575
signed_value_cost_aware,HistGradientBoostingRegressor,0.3,1154.5747014991466,8111,1687,0.5360824742268041,0.02650429799426934,1156.5533201031417,0.27919383521043273
signed_value_cost_aware,HistGradientBoostingRegressor,0.5,1895.1034637595142,1729,1687,0.697594501718213,0.03008595988538682,1899.133122495554,0.4706579727326615
signed_value_cost_aware,HistGradientBoostingRegressor,0.5,1895.1034637595142,2718,1687,0.6701030927835051,0.027220630372492838,1902.467102240664,0.4724362774155305
signed_value_cost_aware,HistGradientBoostingRegressor,0.5,1895.1034637595142,3141,1687,0.6941580756013745,0.0329512893982808,1890.009363266153,0.46769413159454654
signed_value_cost_aware,HistGradientBoostingRegressor,0.5,1895.1034637595142,5772,1687,0.6838487972508591,0.03151862464183381,1904.6496456567872,0.46828689982216953
signed_value_cost_aware,HistGradientBoostingRegressor,0.5,1895.1034637595142,8111,1687,0.6769759450171822,0.032234957020057305,1902.5964089502074,0.4742145820983995
signed_value_cost_aware,HistGradientBoostingRegressor,0.75,2820.764416584974,1729,1687,0.7938144329896907,0.03510028653295129,2814.2515559282747,0.7131001778304683
signed_value_cost_aware,HistGradientBoostingRegressor,0.75,2820.764416584974,2718,1687,0.7628865979381443,0.03724928366762178,2828.917381123296,0.7190278601066983
signed_value_cost_aware,HistGradientBoostingRegressor,0.75,2820.764416584974,3141,1687,0.7938144329896907,0.03796561604584527,2843.4059061742732,0.7196206283343213
signed_value_cost_aware,HistGradientBoostingRegressor,0.75,2820.764416584974,5772,1687,0.8075601374570447,0.03868194842406877,2846.780765599289,0.7172495554238293
signed_value_cost_aware,HistGradientBoostingRegressor,0.75,2820.764416584974,8111,1687,0.7903780068728522,0.03581661891117478,2833.528328742146,0.7178423236514523
signed_value_cost_aware,HistGradientBoostingRegressor,1.0,3746.425369410433,1729,1687,0.8487972508591065,0.04369627507163324,3743.4272912471843,0.973918197984588
signed_value_cost_aware,HistGradientBoostingRegressor,1.0,3746.425369410433,2718,1687,0.8487972508591065,0.04369627507163324,3744.910510394784,0.974510966212211
signed_value_cost_aware,HistGradientBoostingRegressor,1.0,3746.425369410433,3141,1687,0.8487972508591065,0.04799426934097421,3742.569328770006,0.973325429756965
signed_value_cost_aware,HistGradientBoostingRegressor,1.0,3746.425369410433,5772,1687,0.8591065292096219,0.04656160458452722,3733.512454609366,0.970954356846473
signed_value_cost_aware,HistGradientBoostingRegressor,1.0,3746.425369410433,8111,1687,0.8487972508591065,0.04297994269340974,3732.1787844262003,0.972139893301719
signed_value_cost_aware,RandomForestRegressor,0.1,414.045939238779,1729,1687,0.27835051546391754,0.03008595988538682,410.1537005494961,0.07231772377000593
signed_value_cost_aware,RandomForestRegressor,0.1,414.045939238779,2718,1687,0.2920962199312715,0.025071633237822348,413.74287233906347,0.07528156490812092
signed_value_cost_aware,RandomForestRegressor,0.1,414.045939238779,3141,1687,0.2852233676975945,0.022922636103151862,421.46089259632487,0.07587433313574392
signed_value_cost_aware,RandomForestRegressor,0.1,414.045939238779,5772,1687,0.281786941580756,0.024355300859598854,411.7962933076467,0.07468879668049792
signed_value_cost_aware,RandomForestRegressor,0.1,414.045939238779,8111,1687,0.28865979381443296,0.025071633237822348,412.5716462863071,0.07468879668049792
signed_value_cost_aware,RandomForestRegressor,0.2,784.3103203689628,1729,1687,0.38831615120274915,0.020773638968481375,788.2067657540013,0.16656787196206282
signed_value_cost_aware,RandomForestRegressor,0.2,784.3103203689628,2718,1687,0.3848797250859107,0.01862464183381089,788.1543137219916,0.16834617664493184
signed_value_cost_aware,RandomForestRegressor,0.2,784.3103203689628,3141,1687,0.41924398625429554,0.02148997134670487,773.342433135151,0.16241849436870184
signed_value_cost_aware,RandomForestRegressor,0.2,784.3103203689628,5772,1687,0.40893470790378006,0.01862464183381089,789.0343651505631,0.16893894487255484
signed_value_cost_aware,RandomForestRegressor,0.2,784.3103203689628,8111,1687,0.4261168384879725,0.022922636103151862,796.1413079709545,0.17012448132780084
signed_value_cost_aware,RandomForestRegressor,0.3,1154.5747014991466,1729,1687,0.5223367697594502,0.02148997134670487,1157.8005392436278,0.26141078838174275
signed_value_cost_aware,RandomForestRegressor,0.3,1154.5747014991466,2718,1687,0.5257731958762887,0.02005730659025788,1166.8357862525193,0.26022525192649676
signed_value_cost_aware,RandomForestRegressor,0.3,1154.5747014991466,3141,1687,0.5051546391752577,0.02363896848137536,1158.4617052566687,0.25785417901600477
signed_value_cost_aware,RandomForestRegressor,0.3,1154.5747014991466,5772,1687,0.5051546391752577,0.02005730659025788,1161.878467921162,0.26200355660936575
signed_value_cost_aware,RandomForestRegressor,0.3,1154.5747014991466,8111,1687,0.5085910652920962,0.02363896848137536,1152.807818411974,0.26022525192649676
signed_value_cost_aware,RandomForestRegressor,0.5,1895.1034637595142,1729,1687,0.6769759450171822,0.027936962750716332,1887.6797739045642,0.4599881446354475
signed_value_cost_aware,RandomForestRegressor,0.5,1895.1034637595142,2718,1687,0.6666666666666666,0.03151862464183381,1895.4998864848847,0.4582098399525785
signed_value_cost_aware,RandomForestRegressor,0.5,1895.1034637595142,3141,1687,0.697594501718213,0.032234957020057305,1924.7224947504446,0.4582098399525785
signed_value_cost_aware,RandomForestRegressor,0.5,1895.1034637595142,5772,1687,0.6529209621993127,0.0329512893982808,1891.3441458701836,0.4576170717249555
signed_value_cost_aware,RandomForestRegressor,0.5,1895.1034637595142,8111,1687,0.697594501718213,0.03151862464183381,1904.9253035649083,0.46176644931831656
signed_value_cost_aware,RandomForestRegressor,0.75,2820.764416584974,1729,1687,0.7835051546391752,0.034383954154727794,2824.256189356254,0.7154712507409603
signed_value_cost_aware,RandomForestRegressor,0.75,2820.764416584974,2718,1687,0.7697594501718213,0.03868194842406877,2854.9251614048603,0.7350326022525193
signed_value_cost_aware,RandomForestRegressor,0.75,2820.764416584974,3141,1687,0.7869415807560137,0.04011461318051576,2812.39151840901,0.7142857142857143
signed_value_cost_aware,RandomForestRegressor,0.75,2820.764416584974,5772,1687,0.7697594501718213,0.03796561604584527,2815.2854165074095,0.7202133965619443
signed_value_cost_aware,RandomForestRegressor,0.75,2820.764416584974,8111,1687,0.7766323024054983,0.03724928366762178,2823.7389570432724,0.7231772377000593
signed_value_cost_aware,RandomForestRegressor,1.0,3746.425369410433,1729,1687,0.845360824742268,0.04297994269340974,3747.614435702431,0.970954356846473
signed_value_cost_aware,RandomForestRegressor,1.0,3746.425369410433,2718,1687,0.8384879725085911,0.04369627507163324,3707.093567945465,0.9585062240663901
signed_value_cost_aware,RandomForestRegressor,1.0,3746.425369410433,3141,1687,0.8487972508591065,0.04799426934097421,3751.667239971547,0.969768820391227
signed_value_cost_aware,RandomForestRegressor,1.0,3746.425369410433,5772,1687,0.8591065292096219,0.04871060171919771,3736.605009514523,0.965026674570243
signed_value_cost_aware,RandomForestRegressor,1.0,3746.425369410433,8111,1687,0.8419243986254296,0.042263610315186245,3737.5314554967395,0.967397747480735
signed_value_cost_aware,Ridge,0.1,414.045939238779,1729,1687,0.2611683848797251,0.022922636103151862,412.2474412317723,0.08298755186721991
signed_value_cost_aware,Ridge,0.1,414.045939238779,2718,1687,0.26804123711340205,0.02148997134670487,409.37396828037936,0.08239478363959692
signed_value_cost_aware,Ridge,0.1,414.045939238779,3141,1687,0.2611683848797251,0.022922636103151862,409.9550795986959,0.08239478363959692
