policy,requested_budget,acquired_n,acquisition_rate,decision_loss,accuracy,total_risk_with_cost,fpr,recall,fnr,decision_loss_reduction_vs_never,context_a_acquisition_rate,context_b_acquisition_rate,oracle_value_captured_per_example,seed
uncertainty,0.25,3000,0.25,0.15808333333333333,0.8419166666666666,0.16308333333333333,0.15428002654280026,0.8380776959142666,0.16192230408573338,0.04583333333333334,0.2466278101582015,0.25337781484570476,0.04895900108318898,25
oracle_decision_value,0.25,3000,0.25,0.12908333333333333,0.8709166666666667,0.13408333333333333,0.12491705374917053,0.8667113194909578,0.1332886805090422,0.07483333333333334,0.4995836802664446,0.0,0.07848189188915407,25
learned_value,0.25,3000,0.25,0.13016666666666668,0.8698333333333333,0.13516666666666668,0.12641008626410086,0.8660415271265908,0.13395847287340923,0.07374999999999998,0.4995836802664446,0.0,0.07734270008146565,25
random,0.3,3600,0.3,0.17516666666666666,0.8248333333333333,0.18116666666666667,0.17402123424021235,0.8236771600803751,0.17632283991962494,0.028749999999999998,0.3024146544546211,0.297581317764804,0.028767569322239207,25
uncertainty,0.3,3600,0.3,0.15108333333333332,0.8489166666666667,0.15708333333333332,0.14681486396814863,0.8446081714668453,0.1553918285331547,0.05283333333333334,0.2929225645295587,0.30708924103419516,0.05579468036174571,25
oracle_decision_value,0.3,3600,0.3,0.12125,0.87875,0.12725,0.11629064366290644,0.8737441393168118,0.12625586068318817,0.08266666666666667,0.5995004163197336,0.0,0.08561921998570096,25
learned_value,0.3,3600,0.3,0.12291666666666666,0.8770833333333333,0.12891666666666665,0.11994027869940278,0.8740790354989953,0.12592096450100465,0.081,0.5995004163197336,0.0,0.08405422790071916,25
random,0.4,4800,0.4,0.16691666666666666,0.8330833333333334,0.17491666666666666,0.16556071665560718,0.8317146684527796,0.16828533154722036,0.037000000000000005,0.4021648626144879,0.3978315262718932,0.03887296503900948,25
uncertainty,0.4,4800,0.4,0.1395,0.8605,0.14750000000000002,0.13487060384870603,0.8558271935699933,0.14417280643000674,0.06441666666666665,0.3916736053288926,0.40834028356964136,0.06808925203168362,25
oracle_decision_value,0.4,4800,0.4,0.11283333333333333,0.8871666666666667,0.12083333333333332,0.10766423357664233,0.8819490957803081,0.11805090421969189,0.09108333333333334,0.7993338884263114,0.0,0.09425050310382092,25
learned_value,0.4,4800,0.4,0.11275,0.88725,0.12075,0.10766423357664233,0.8821165438713998,0.11788345612860018,0.09116666666666666,0.7993338884263114,0.0,0.09387526258775798,25
