label_condition,label_column,grouping_condition,group_column,seed,stack,policy_kind,target_rate,deployable,acquisition_threshold,decision_threshold,selection_acquisition_rate,holdout_acquisition_rate,selection_n,selection_recall,selection_fpr,holdout_n,holdout_positive_n,holdout_negative_n,holdout_tp,holdout_fn,holdout_fp,holdout_tn,holdout_recall,holdout_fpr,holdout_precision,holdout_intercept_rate,holdout_row_fpr_upper95,holdout_negative_dependency_groups,holdout_failed_dependency_groups,holdout_dependency_group_event_rate,holdout_dependency_group_event_upper95,primary_risk_gate_pass
audited,y,dependency_primary,primary_dependency_group,3141,rule_to_compact,selective_deployable,0.25,True,0.29762321883219856,0.3616106684239435,0.2546728971962617,0.24761904761904763,428,0.24050632911392406,0.04871060171919771,420,71,349,13,58,12,337,0.18309859154929578,0.034383954154727794,0.52,0.05952380952380952,0.05511488840986523,347,12,0.0345821325648415,0.0554291043677078,False
audited,y,dependency_primary,primary_dependency_group,3141,rule_to_compact,offline_ranked_diagnostic,0.25,False,,0.3616106684239435,0.25,0.25,428,0.24050632911392406,0.04871060171919771,420,71,349,13,58,12,337,0.18309859154929578,0.034383954154727794,0.52,0.05952380952380952,0.05511488840986523,347,12,0.0345821325648415,0.0554291043677078,False
audited,y,dependency_primary,primary_dependency_group,3141,rule_to_compact,selective_deployable,0.5,True,0.38302291191634297,0.37095445554370454,1.0,1.0,428,0.21518987341772153,0.04871060171919771,420,71,349,13,58,11,338,0.18309859154929578,0.03151862464183381,0.5416666666666666,0.05714285714285714,0.05163164376229004,347,11,0.03170028818443804,0.05192610743152733,False
audited,y,dependency_primary,primary_dependency_group,3141,rule_to_compact,offline_ranked_diagnostic,0.5,False,,0.37095445554370454,0.5,0.5,428,0.21518987341772153,0.04871060171919771,420,71,349,13,58,10,339,0.18309859154929578,0.02865329512893983,0.5652173913043478,0.05476190476190476,0.04811762364973175,347,10,0.02881844380403458,0.048392148986166235,True
audited,y,dependency_primary,primary_dependency_group,3141,compact_to_qwen,cheap_only,,True,,0.16895978686307608,0.0,0.0,428,0.0759493670886076,0.04871060171919771,420,71,349,5,66,15,334,0.07042253521126761,0.04297994269340974,0.25,0.047619047619047616,0.06541143768987555,347,15,0.043227665706051875,0.06578397786941731,False
audited,y,dependency_primary,primary_dependency_group,3141,compact_to_qwen,full_information,,True,,0.3045844595507426,1.0,1.0,428,0.9113924050632911,0.04871060171919771,420,71,349,60,11,22,327,0.8450704225352113,0.06303724928366762,0.7317073170731707,0.19523809523809524,0.08879245157053443,347,22,0.06340057636887608,0.08929709961567887,False
audited,y,dependency_primary,primary_dependency_group,3141,compact_to_qwen,selective_deployable,0.1,True,0.3353146271309882,0.16385784870821438,0.10046728971962617,0.09523809523809523,428,0.189873417721519,0.045845272206303724,420,71,349,18,53,22,327,0.2535211267605634,0.06303724928366762,0.45,0.09523809523809523,0.08879245157053443,347,22,0.06340057636887608,0.08929709961567887,False
audited,y,dependency_primary,primary_dependency_group,3141,compact_to_qwen,offline_ranked_diagnostic,0.1,False,,0.16385784870821438,0.10046728971962617,0.1,428,0.189873417721519,0.045845272206303724,420,71,349,18,53,21,328,0.2535211267605634,0.06017191977077364,0.46153846153846156,0.09285714285714286,0.08549556272192184,347,21,0.06051873198847262,0.08598160936447057,False
audited,y,dependency_primary,primary_dependency_group,3141,compact_to_qwen,selective_deployable,0.25,True,0.3368138499307798,0.1631461510300827,0.25,0.30238095238095236,428,0.3037974683544304,0.04011461318051576,420,71,349,28,43,22,327,0.39436619718309857,0.06303724928366762,0.56,0.11904761904761904,0.08879245157053443,347,22,0.06340057636887608,0.08929709961567887,False
audited,y,dependency_primary,primary_dependency_group,3141,compact_to_qwen,offline_ranked_diagnostic,0.25,False,,0.1631461510300827,0.25,0.25,428,0.3037974683544304,0.04011461318051576,420,71,349,28,43,36,313,0.39436619718309857,0.10315186246418338,0.4375,0.1523809523809524,0.13393571721255926,347,36,0.1037463976945245,0.1346942415693272,False
audited,y,dependency_primary,primary_dependency_group,3141,compact_to_qwen,selective_deployable,0.5,True,0.3372096496463653,0.3045844595507426,0.5,0.5595238095238095,428,0.5316455696202531,0.03724928366762178,420,71,349,47,24,20,329,0.6619718309859155,0.05730659025787966,0.7014925373134329,0.1595238095238095,0.08218591616153102,347,20,0.05763688760806916,0.08265328077456838,False
